Date,News,Prediction
16/06/2011, russian oil company lukoil seeks reentry to iraq, DECREASE
16/06/2011, china looks increasingly towards renewables, DECREASE
16/06/2011, lithuania, DECREASE
16/06/2011, following fukushima, DECREASE
20/06/2011, analysts worry korean energy policies might backfire, DECREASE
20/06/2011, russia unlikely to join the international energy agency soon, DECREASE
20/06/2011, colombias insurgents target energy infrastructure, DECREASE
20/06/2011, pakistans fuel scarcity and unpaid bills shutter 12 power plants, DECREASE
20/06/2011, australias desalinization plant workers in industrial dispute, DECREASE
21/06/2011, nigerian government grapples with endemic energy shortages, INCREASE
21/06/2011, russia tests aerial spent nuclear fuel transport containers, INCREASE
21/06/2011, lebanon protests israelicypriot energy agreement, INCREASE
21/06/2011, international energy companies move into mozambique, INCREASE
21/06/2011, russia considers importing australian uranium for processing , INCREASE
22/06/2011, russia still committed to nuclear power, DECREASE
22/06/2011, epa ups 2012 biofuel mandate to 152 billion gallons, DECREASE
22/06/2011, a chinese specialist on russiachina energy cooperation, DECREASE
22/06/2011, australian mining software company expanding into kazakhstan, DECREASE
23/06/2011, hydroelectric projects continue to trouble central asian relations, DECREASE
23/06/2011, china pressing forward with wind power, DECREASE
23/06/2011, brazil to become the worlds largest market for oil exploration technology, DECREASE
23/06/2011, us company to begin drilling in cyprus offshore waters by year end, DECREASE
23/06/2011, russia, DECREASE
24/06/2011, russia voices concerns about un sanctions on iran, DECREASE
27/06/2011, troubling questions arise about russian nuclear specialists killed in crash, INCREASE
27/06/2011, energy starved angola to build 150 microhydroelectric plants , INCREASE
27/06/2011, central asian regional water tensions to increase, INCREASE
27/06/2011, israel’s offshore natural gas fields may be hard to protect from terrorism, INCREASE
27/06/2011, japan  more reactor problems, INCREASE
29/06/2011, chinese provinces suspend nuclear power plant projects, INCREASE
29/06/2011, china’s cnpc delivers biofuel for air china flights, INCREASE
29/06/2011, indoburmese dam project raises concerns, INCREASE
29/06/2011, iranian deputy oil minister  era of cheap oil is over, INCREASE
30/06/2011, iran to increase gas exports to pakistan, DECREASE
13/07/2011, major colombian oil pipeline attacked, DECREASE
13/07/2011, iran to invest 18 billion in the country’s southern oilfields, DECREASE
13/07/2011, new thai government urged to review and modify energy policies, DECREASE
13/07/2011, new thai government urged to review and modify energy policies, DECREASE
13/07/2011, france to open cooperation bureau in north korea, DECREASE
13/07/2011, financial problems hit nuclear projects in the balkans, DECREASE
14/07/2011, iraqi militants threaten kuwaiti port development, INCREASE
14/07/2011, argentina’s largest oil company joins colombia’s oil rush, INCREASE
14/07/2011, china assisting pakistan in upgrading power infrastructure, INCREASE
14/07/2011, bpazerbaijan suspends oil supplies via georgian supsa pipeline, INCREASE
14/07/2011, vietnamese energy insurance company to issue ipo, INCREASE
15/07/2011, china to keep rare earths export quota at 2010 levels, DECREASE
15/07/2011, nigerianchinese trade soars, DECREASE
18/07/2011, new thai government to scrap country’s oil fund, INCREASE
18/07/2011, india granted a waiver by nuclear suppliers group, INCREASE
18/07/2011, world bank provides 99 million grant for nepal power project, INCREASE
18/07/2011, national iranian oil company to issue 15 billion in bonds , INCREASE
18/07/2011, pakistan to include iran in currency swaps, INCREASE
19/07/2011, uganda’s oil potential arouses international interest, INCREASE
19/07/2011, burma, INCREASE
19/07/2011, iran’s six months of targeted fuel subsidies deemed successful, INCREASE
19/07/2011, kenya’s oilibya stops paying libyan government, INCREASE
20/07/2011, paraguay, DECREASE
20/07/2011, south korea, DECREASE
20/07/2011, iran’s southern regions producing 3 million barrels of oil per day, DECREASE
20/07/2011, iran’s relations with china allow bypassing un sanctions, DECREASE
20/07/2011, oil industry workers see foreign influence over failure of oil bill, DECREASE
21/07/2011, iran and lebanon deepen energy ties, INCREASE
21/07/2011, russian navy’s nuclear power plant repair funding stolen , INCREASE
21/07/2011, striking nigerian oil workers to shut oil and gas installations, INCREASE
21/07/2011, south korea buys share in jamaican electricity company, INCREASE
21/07/2011, australian coal of africa beginning south african operations, INCREASE
25/07/2011, vietnam considers wind power, DECREASE
25/07/2011, chinese imports of iranian petroleum products soar, DECREASE
25/07/2011, west african nations work to resolve energy issues, DECREASE
25/07/2011, west african nations work to resolve energy issues, DECREASE
25/07/2011, slovenia disputes italian proposal for offshore gas terminal, DECREASE
25/07/2011, tajikistan begins construction on their first oil refinery, DECREASE
26/07/2011, mexico’s pemex now third largest stock holder in repsol, DECREASE
26/07/2011, kenya to begin power rationing on 27 july, DECREASE
26/07/2011, poland still supports ukraine’s oil pipeline , DECREASE
26/07/2011, deal signed for vietnam’s mong duong power plant, DECREASE
26/07/2011, tajikistan to export electricity to afghanistan, DECREASE
27/07/2011, nigeria, INCREASE
27/07/2011, rwanda to privatize methane gas plant, INCREASE
27/07/2011, colombian oil workers disrupt production, INCREASE
27/07/2011, romanias attempt to sell minority stock in petrom fails, INCREASE
27/07/2011, vietnam’s prime minister approves 10year national power plan, INCREASE
28/07/2011, kenya’s consumers soon to be forced to use solar energy, DECREASE
28/07/2011, ebrd gives ukraine additional 100 million for chernobyl work, DECREASE
28/07/2011, shell defends sale of nigeria oil blocs as legal, DECREASE
28/07/2011, chinese companies compete for power plant contracts in poland, DECREASE
28/07/2011, imf unhappy with romanias stateowned companies management, DECREASE
15/08/2011, army interest in renewable fuels growing, INCREASE
15/08/2011, iranian oil sales to india decline, INCREASE
15/08/2011, new australian green initiative threatens property values, INCREASE
15/08/2011, duke energy announces wind farm for willacy county in texas, INCREASE
16/08/2011, beach energy reveals massive shale gas estimate, INCREASE
16/08/2011, south korea seeking rare earth concessions in south africa , INCREASE
16/08/2011, russia and turkmenistan to deepen energy cooperation, INCREASE
16/08/2011, mongolia to build refineries to ease chronic fuel shortages, INCREASE
16/08/2011, australias otto energy ltd buys out filipino partner in galoc oil field, INCREASE
17/08/2011, pakistan’s president confident they can solve endemic energy crisis, DECREASE
17/08/2011, australia’s proposed coalseam natural gas mining controversial, DECREASE
17/08/2011, dubai freezes utility prices, DECREASE
17/08/2011, noble energy to develop eastern mediterranean lng facility, DECREASE
17/08/2011, arizonas solar advocates call planned support levels anemic, DECREASE
17/08/2011, scientists call for firing of head of doe fracking review panel, DECREASE
18/08/2011, opec states that venezuela has world’s largest oil reserves, INCREASE
18/08/2011, south korea and russia discussions progress on natural gas pipeline , INCREASE
18/08/2011, chile approves controversial massive coal mining project, INCREASE
18/08/2011, vietnamese fiveyear plan envisages dynamic growth for petrovietnam, INCREASE
