News,Date
Kazakhstan Delays Oil Pipeline Restart,02/10/23
BP Shares Have Jumped Nearly 20% This Week,02/10/23
Enbridge Books Q4 Loss Due To Goodwill Impairment Charge,02/10/23
Lyft Stock Sheds $2 Billion After Massive Earnings Miss,02/10/23
Why Russia Finally Decided To Cut Its Oil Production,02/10/23
Goldman Sachs: Oil Prices Won’t Hit $100 Until December,02/10/23
EU Pledges To Respond To U.S. And Chinese Clean Tech Subsidies ,02/10/23
U.S. ESG Funds Suffer Disastrous Fourth Quarter In 2022,02/10/23
Investment Group Presses European Banks To Stop Funding Oil And Gas Projects,02/10/23
South African Energy Crisis Triggers Declaration Of State Of Disaster,02/09/23
Algeria Back On Top As Spain’s Largest Natural Gas Supplier,02/09/23
Exxon Unveils New Trading Division To Compete With Shell And BP,02/09/23
Total Puts Investment In $50 Billion Hydrogen Project On Hold,02/09/23
U.S. Slaps Sanctions On Firms Selling Iranian Oil Products In Asia,02/09/23
Zelenskiy: European Unity Is Fundamental To Security,02/09/23
Azeri Oil Exports From Turkey Expected To Be Delayed Until Next Week,02/09/23
Australian Coal Shipment Arrives In China For The First Time In Two Years,02/09/23
Tesla’s Huge Model 3 Discounts Lift Car Sales In China,02/09/23
Embattled Adani Embarks On A Coal Fire Sale To Boost Liquidity,02/09/23
Republicans Seek To Scrap New Emissions Rule For Heavy-Duty Trucks,02/09/23
Kazakhstan Bans Fuel Exports To Ensure Domestic Supply,02/09/23
Russia Calls For An Investigation Into New Nord Stream Sabotage Claims,02/09/23
The U.S. Won’t Sanction India For Buying Russian Oil,02/09/23
U.S. Company Strikes Oil Off Suriname Coast,02/09/23
Los Angeles To Convert Its Largest Natural Gas Power Plant To Hydrogen,02/09/23
Oil Up For 3rd Day In a Row As Fed Proves Less Hawkish,02/08/23
Biden SOTU: Oil Demand Will Last For At Least A Decade,02/08/23
Moscow Considering Windfall Tax to Cover Plunging Oil Revenues,02/08/23
BP Declares Force Majeure On Azeri Crude Loadings From Turkey’s Ceyhan Port,02/08/23
Nationwide Strikes Disrupt French Fuel Flows,02/08/23
UK To Support Ukraine To Ensure A “Decisive Military Victory”,02/08/23
TotalEnergies Doubles Profits In Its Best Year Ever,02/08/23
Equinor Reports Record Profits In 2022,02/08/23
Renewable Energy Surge Signals A Tipping Point For Power Sector Emissions,02/08/23
China Signs Its First-Ever LNG Deal With Oman,02/08/23
Biden Wants To Quadruple The Tax On Big Oil’s Stock Buybacks,02/08/23
Large Gasoline Inventory Build Counters Crude Draw,02/07/23
EIA Lowers 2023 Natural Gas Price Outlook By 30%,02/07/23
High Oil Prices Help To Send U.S. Trade Deficit To Nearly $1 Trillion,02/07/23
Crude Oil Bounces Back As Earthquake In Turkey Creates Supply Concerns,02/07/23
UK Energy Crunch Concerns Ease As National Grid Tells Coal Plants To Stand Down,02/07/23
Ford Faces Growing Pains As It Expands Into The EV Market,02/07/23
French Strikes Halt Fuel Shipments From Refineries And A Fuel Depot,02/07/23
Ship-To-Ship Loadings Of Urals Hit Record High As Russian Oil Heads To Asia,02/07/23
California Governor Urges Federal Inquiry Into Surging Natural Gas Prices,02/07/23
BP Becomes The Latest Oil Major To Report Record-Breaking Profits,02/07/23
Earthquakes Cause Severe Damage To Turkey’s Energy Infrastructure,02/07/23
India Looks To Boost Natural Gas Consumption With Long-Term LNG Deals,02/07/23
Rosneft CEO: The Price Of Russia’s Flagship Oil Will Now Be Set By Asia,02/07/23
Neo-Nazis Charged With Plotting To Attack U.S. Energy Grid,02/06/23
Russian Fiscal Budget Shows 35% Decline For January,02/06/23
India Predicts 500% Increase In Domestic Natural Gas Demand,02/06/23
GM Partners With Netflix To Promote Electric Vehicles,02/06/23
Russian Fuel Oil Flows To Asia As EU Ban Takes Effect,02/06/23
Chevron Looks To Seal Gas Exploration Deal In Algeria,02/06/23
Saudi Arabia Surprises Markets By Increasing Oil Prices To Asia,02/06/23
Operations Halted At Ceyhan Oil Terminal After Huge Earthquake,02/06/23
Technical Fault Forces Huge Norwegian Oilfield Offline,02/06/23
Hong Kong Still Hopes To Lure Aramco To Stock Exchange,02/06/23
EU Embargo On Russian Oil Products Enters Into Effect,02/06/23
Goldman Sachs Warns Of An Imminent Oil Supply Shortage,02/06/23
Iran To Help Venezuela Overhaul Major Refinery Complex,02/03/23
EU Supports $100 Russian Diesel Price Cap,02/03/23
Oil Prices Crash After Perky Jobs Data,02/03/23
EU Leaders Meet In Ukraine To Discuss Fresh Sanctions Package,02/03/23
Russia’s Oil And Gas Revenues Slump 46% Year-Over-Year,02/03/23
Europe’s Gas Prices Set For 6% Weekly Gain As Cold Weather Closes In,02/03/23
Germany Failed To Hit Its Gas Consumption Target In January,02/03/23
Russia Sees No Reason To Cut Its Oil Product Output,02/03/23
Russia Considers Brent-Based Oil Tax To Limit Its Losses,02/03/23
U.S. Refiners To Scale Back Capacity Utilization After Record 2022,02/03/23
Tesla May Have To Reconsider Its Mexico Plant,02/03/23
Fitch Expects $95 Oil In 2023,02/03/23
Colorado Regulator Suspends Oil Company’s Ability To Operate Wells,02/02/23
Norway Says It Will Use Wartime Oil Profits To Aid Ukraine,02/02/23
Spain Boosts LNG Port Capabilities But Russian Gas Is In The Mix,02/02/23
Asia’s Oil Imports Hit Record High Despite Drop In Chinese Demand,02/02/23
OPEC’s Oil Production Drops In January As Saudi Arabia Cuts Output,02/02/23
EU President Promises 10th Round Of Sanctions On Russia,02/02/23
Morgan Stanley: Expect More EV Price Cuts Ahead,02/02/23
Turkey: Oil Product Tankers Must Have Insurance From February 6,02/02/23
EU Launches LNG Reference Price For Its Gas Market Correction Mechanism,02/02/23
Shell Reports Record Earnings As Profits Double,02/02/23
U.S. LNG Exports Drop As Domestic Demand Climbs,02/02/23
Activists Attempt To Derail An $8 Billion Alaskan Oil Project,02/02/23
U.S. Pipeline Operator Predicts A Big Year For The Permian Basin,02/02/23
