Date,News
08/11/2022,Large Crude Build Weighs On Oil Prices
08/11/2022,EIA Cuts World Oil Demand Growth For 2023
08/11/2022,European Commission Says Gas Price Cap Is Impossible
08/11/2022,Turkey Starts Partial Payment In Rubles For Russian Gas
08/11/2022,China’s Fuel Exports Forecast To Hit Highest Level Since April 2020
08/11/2022,Macron: United States And China Need To Step Up On Emissions Cuts
08/11/2022,China Sees Exports Tumble Due To Zero-Covid Policy
08/11/2022,U.S. Praises Armenia And Azerbaijan For “Courageous Steps” Towards Peace
08/11/2022,North Sea Oil And Gas: Increasing Windfall Tax Oil Producers Would Be Disastrous
08/11/2022,Spain Forced To Idle Hydropower Plant As Drought Drains Reservoirs
08/11/2022,Oman's Energy Minister: It's Foolish To Assume Renewables Can Meet Global Demand
08/11/2022,UK To Sign Major LNG Supply Deal With The U.S.
08/11/2022,The U.S. Believes India Will Benefit From A Price Cap On Russian Oil
08/11/2022,An EU Price Cap On Natural Gas Looks Increasingly Unlikely
08/11/2022,Energy Bills In Europe Are 90% Higher Than Last Year
07/11/2022,Ukrainians Face Weeks Of Emergency Energy Shutdowns
07/11/2022,Goldman Sachs Downgrades Shell For “Above-Average” Valuation
07/11/2022,India Plans To Return To Once-A-Month Releases Of Import And Export Data
07/11/2022,France’s Nuclear Power Problems Are Mounting
07/11/2022,Biden Says “No More Drilling” At A Rally
07/11/2022,Chinese President Xi To Visit Saudi Arabia By Year-End
07/11/2022,Zelenskiy Tells Ukrainians To Brace For More Electricity And Water Outages
07/11/2022,Euro Could Stay Below Dollar For As Long As Natural Gas Prices Remain High
07/11/2022,U.S. National Security Adviser: Support For Ukraine Will Be “Unwavering”
07/11/2022,Germany To Allocate $83 Billion For Energy Price Caps In 2023
07/11/2022,China’s Oil Imports Rise For The First Time Since May
07/11/2022,Chinese Energy Giants Sign Billion-Dollar Deals At International Expo
07/11/2022,Serbia Won't Rule Out Nationalizing Its Oil Industry
05/11/2022,Another Country Burdens Oil And Gas Companies With Windfall Taxes
05/11/2022,France Headed for Winter Blackouts As EDF Cuts Nuclear Output Forecast
04/11/2022,Germany Calls For An End To Regional Conflicts In Balkan States
04/11/2022,Maersk Reports Record Profits But Warns Of Challenges Ahead
04/11/2022,Russian Oil Price Cap Will Not Apply To Resold Cargoes
04/11/2022,Saudi Arabia Cuts Oil Prices For Asia
04/11/2022,UK Bans Services From Transporting Russian Oil Above Price Cap
04/11/2022,European Natural Gas Prices Climb As Nuclear Output Drops
04/11/2022,Germany’s Manufacturing Slump Deepens As Energy Costs Soar
04/11/2022,Guyana To Launch First Oil Tender Under New Rules
04/11/2022,The G7 Will Set A Fixed Price On Russian Oil
