Date,News,Prediction
13/10/2022, angela merkel justifies disastrous energy policy with russia, DECREASE
14/10/2022, new president and pmdesignate spark unrest concerns in iraq, DECREASE
14/10/2022, us energy bills see largest rise in decades—more pain to come, DECREASE
14/10/2022, russian diplomat says moscow may not renew grain deal, DECREASE
14/10/2022, russia protests after being booted from nord stream investigation, DECREASE
14/10/2022, norway investigates drone threat at natural gas processing plant, DECREASE
14/10/2022, russia suggests a price cap on us lng, DECREASE
14/10/2022, india looks to diversify its oil imports following opec cut, DECREASE
14/10/2022, refinery strikes continue in france as union rejects pay rise offer, DECREASE
14/10/2022, japan’s government will buy lng if private companies can’t afford to, DECREASE
14/10/2022, germany our energy bailout isn’t selfish, DECREASE
14/10/2022, japan considers extending its 60year limit on nuclear power plants, DECREASE
17/10/2022, norway’s equinor considers buying chinese north sea oilfields, DECREASE
17/10/2022, gasoline prices see abrupt decline as us diesel prices continue to rise, DECREASE
17/10/2022, bp makes renewable inroads with largest acquisition in years, DECREASE
17/10/2022, saudi arabia announces 400 million in aid to ukraine, DECREASE
17/10/2022, nato holds nuclear deterrence drills as putin’s losses mount, DECREASE
17/10/2022, new england could face blackouts this winter, DECREASE
17/10/2022, harold hamm and family move to buy all remaining shares of continental resources, DECREASE
17/10/2022, oil prices reflect growing concerns about chinese demand, DECREASE
17/10/2022, the chinese oil giant poised for a 100 increase in net income, DECREASE
17/10/2022, iran is sending crude oil to venezuela for refining, DECREASE
18/10/2022, api shows crude, INCREASE
18/10/2022, chevron’s venezuela operations hinge on unlikely election talks, INCREASE
18/10/2022, oil prices continue to fall to levels not seen in weeks, INCREASE
18/10/2022, oilfield services giants are primed to post very strong earnings, INCREASE
18/10/2022, qatar europe will struggle to secure natural gas for next winter, INCREASE
18/10/2022, exxon’s refineries in france will take weeks to restart, INCREASE
18/10/2022, zaporizhzhya nuclear plant on backup power as russia shells nearby substations, INCREASE
18/10/2022, russia launches new wave of air strikes on infrastructure in kyiv, INCREASE
18/10/2022, eu members disagree on how to ease the energy crisis, INCREASE
18/10/2022, eu emergency measures unlikely to include a natural gas price cap, INCREASE
18/10/2022, lng tankers are queuing up to unload in europe, INCREASE
18/10/2022, russia removes exxon from major oil and gas project, INCREASE
19/10/2022, more drones spotted over norwegian oil infrastructure, INCREASE
19/10/2022, biden lays out 3step plan to bring oil prices down, INCREASE
19/10/2022, baker hughes posts q3 earnings miss, INCREASE
19/10/2022, us assures opec that g7’s price cap on russian oil won’t target them, INCREASE
19/10/2022, solar and wind helped the eu to save 11 billion euros on gas imports, INCREASE
19/10/2022, octopus energy announces 11 gw renewable venture in italy, INCREASE
19/10/2022, apple partner foxconn unveils two ev prototypes, INCREASE
19/10/2022, ukraine receives first tranche of 5 billion eu aid package, INCREASE
19/10/2022, strong sales data sparks rally in european auto stocks, INCREASE
19/10/2022, eu labels russian attacks on ukraine infrastructure as war crimes, INCREASE
19/10/2022, us offical opec cut came at “the worst possible moment”, INCREASE
19/10/2022, germany plans to cap energy bills by taxing electricity producers, INCREASE
19/10/2022, blackrock says it won’t stop investing in coal, INCREASE
19/10/2022, the bbc has prepared its response for blackouts in britain, INCREASE
20/10/2022, ferc sees high lng prices this winter, INCREASE
20/10/2022, german government may have to inject another 39 billion in energy giant uniper, INCREASE
20/10/2022, ukraine facing nationwide power outages after russian strikes, INCREASE
20/10/2022, crypto miners accused of exploiting kazakhstanbacked it startup hub, INCREASE
20/10/2022, wave of russian infrastructure attacks force ukraine to restrict electricity, INCREASE
20/10/2022, musk remains optimistic despite tesla revenue miss, INCREASE
20/10/2022, liz truss resigns, INCREASE
20/10/2022, weak oil demand to slow economic growth in the middle east next year, INCREASE
20/10/2022, us charges 9 foreign nationals for selling military tech to russia, INCREASE
20/10/2022, uk government in crisis resignations, INCREASE
20/10/2022, asian fuel suppliers are sending “everything they can” to europe, INCREASE
21/10/2022, macron lashes out at united states over double standard energy policies, DECREASE
21/10/2022, “frankly terrifying” energy crisis could drag 26m brits into fuel poverty, DECREASE
21/10/2022, zelensky russia aims to spark exodus of ukrainians with infrastructure attacks, DECREASE
21/10/2022, schlumberger beats earnings estimates as q2 revenues grow by 10, DECREASE
21/10/2022, iran is conducting “massive” military drills on the azerbaijan border, DECREASE
