News,Date
"Bans and price caps targeting Russian oil are having the “intended effect” despite surprisingly resilient production and exports in recent months, according to Toril Bosoni from the International Energy Agency.The European Union’s embargo on Russian oil products came into effect on Feb. 5, building on the $60 oil price cap implemented by the G-7 (Group of Seven) major economies on Dec. 5.Bosoni, who’s head of the oil industry and markets division at the IEA, told CNBC on Wednesday that Russian oil production and exports had held up “much better than expected” in recent months. This is because Moscow has been able to reroute much of the crude that previously went to Europe to new markets in Asia.China, India and Turkey in particular ramped up purchases to partially offset the 400,000-barrel-per-day fall in Russian crude exports to Europe in January, according to the IEA’s oil market report published Wednesday. Some Russian oil is also still making its way to Europe through the Druzhba pipeline and Bulgaria, both of which are exempt from EU embargo.As such, Russian net oil output fell by only 160,000 barrels a day from pre-war levels in January, with 8.2 million barrels of oil shipped to markets worldwide, the IEA said. The agency added that G-7 price caps may also be helping to bolster Russian exports to some extent, as Moscow is forced to sell its Urals oil at a lower price to those countries complying with the caps, which potentially makes it more attractive than other sources of crude.Despite Russia’s substantial export volumes, Bosoni argued that this did not mean the sanctions had failed.“The price cap was put in place to allow for Russian oil to continue to flow to market, but at the same time reducing Russian revenues. Even though Russian production is coming to market, we’re seeing that the revenues that Russia receives from its oil and gas have really come down,” Bosoni said.“For instance in January, export revenues for Russia were about $13 billion, that’s down 36% from a year ago,” she said. “Russian fiscal receipts from the oil industry is down 48% in the year, so in that sense we can say that the price cap is having its intended effect.”She also highlighted the growing discrepancy between Russian Urals crude prices and international benchmark Brent crude. The former averaged $49.48 per barrel in January, according to the Russian Finance Ministry, while Brent was trading above $85 a barrel on Thursday.Importantly, Russia’s 2023 budget is based on a Urals price average of $70.10/bbl, so plunging fiscal revenues from oil operations year-on-year are leaving a substantial hole in public finances.Bosoni also noted that the indications are that Moscow may not be able to reallocate the trade of oil products in the same way as it has crude exports, which is why the IEA expects exports and production to fall further in the coming months.“We’re seeing now some reallocation of trade of the products but we haven’t seen the same shift as we saw for crude, which is why we’re expecting Russian exports to fall and production to fall,” she said.Production cutRussia announced last week that it would cut production by 500,000 barrels a day in March in response to the latest round of Western bans, amounting to around 5% of its latest crude output.However, Bosoni said this was in line with the IEA’s expectations.“This is included in our balances that still see the markets relatively well supplied through the first half of the year, so we’re not too concerned about this decline, we think there’s enough supply to meet demand for the coming months,” she said.“The question will be when summer comes around, refinery activity picks up to meet summer driving and China rebound really takes off, this is when we can see the market tighten really through the rest of the year.”In its report, the IEA suggested the production cut may be less about retaliation and more an attempt by Moscow to shore up pricing by curbing output rather than continuing to sell at a large discount to countries complying with the G-7 price caps.Global oil demandGlobal oil demand growth is expected to pick up in 2023 after a sharp slowdown in the second half of 2022, with China accounting for a substantial portion of the projected increase.The IEA said a pronounced uptick in air traffic in recent weeks highlighted the central role of jet fuel deliveries in 2023 growth. Oil deliveries are expected to surge by 1.1 million barrels a day to hit 7.2 million barrels a day over the course of 2023, with total demand hitting a record 101.9 million barrels a day.The effects of the West’s latest oil embargo and price cap will be a key factor in meeting that demand growth, the IEA report noted.“So will Beijing’s stance on domestic refinery activity and product exports amid its reopening. New refineries in Africa and the Middle East as well as China are expected to step in to cater for the growth in refined product demand,” it said.“If the price cap on products is half as successful as the crude cap, product markets may well weather the storm – but more crude supplies would be required to prevent renewed stock draws later in the year.”
Source: CNBC",17/02/2023
"The energy transition will require oil and gas for decades to come, but the supply of lower-cost, lower-carbon “advantaged” barrels remain scarce, threatening emissions targets and causing upstream providers to pivot to new strategies, according to “Scraping the Barrel” a new Horizons analysis from Wood Mackenzie.Wood Mackenzie’s analysis concludes that in terms of overall supply, total discovered and prospective oil and gas resources are more than double projected demand in 2050. However, truly advantaged resources, with low breakeven (resilience to low prices) and emissions (sustainability in scope 1 and 2 terms) are anything but plentiful. Most developed fields have little to offer and only 28% of the resources in commercial undeveloped fields, roughly 49 billion barrels of equivalent (boe), are advantaged in terms of breakeven below US$30 Brent with emissions intensity of less than 20 kgCO2e/boe.“We see enough advantaged resources to satisfy only about half of our base-case oil and gas demand forecast to 2050,” said Andrew Latham, vice president, Energy Research for Wood Mackenzie Upstream. “Even our much lower AET-1.5 demand scenario – which lays out what is needed to achieve the most ambitious targets of the Paris Agreement by keeping emissions within 1.5 °C of pre-industrial levels and reaching global net zero by 2050 – will require some disadvantaged supply.”Under Wood Mackenzie’s base Energy Transition Outlook (ETO), oil demand peaks in 2030, before declining slowly to 94 million barrels per day (b/d) in 2050. The AET 1.5 requires 20 million b/d lower than the ETO by 2035, but will still be 33 million b/d by 2050. Under the ETO scenario, gas demand will be 88 million boe/d in 2050, some 12% higher than today. Under the AET-1.5 scenario, gas demand in 2050 will fall to 59 million boe/d.New exploration, decarbonization technologies and biofuels deliver some reliefWith few advantaged resources in brownfields and undeveloped fields, exploration could play a key role in locating and increasing this supply.The industry discovered 228 billion boe in new fields between 2012 and 2021, with an average emissions intensity of 16 kgCO2e/boe, versus the current global average of 23 kgCO2e/boe (19 kgCO2e/boe for undeveloped fields). And with a weighted average cost of supply in Brent price terms of just US$33/bbl.Latham added, “We expect high-impact exploration to be an important source of new resource for as long as demand remains at or near our ETO trajectory. Recent results suggest a contribution of around 5-10 billion boe of new advantaged barrels a year. Most will be found within energy super basins. Exploration on this scale over the next two decades will add oil and gas supply of around 10-15 million boe a day by 2050.”Decarbonization technologies and biofuels could play an even bigger role. Bio-based diesel and aviation fuels from plant-based feedstock could emit 80% less carbon than the crude oil-based products that dominate today’s oil market. Wood Mackenzie projects up to 20 million b/d being possible by 2050.“This is really a wake-up call for the industry and for the overall energy transition outlook,” said Latham. “These are avenues that help alleviate advantaged supply pressures, but it is definitely going to be an uphill struggle.”A difficult road ahead for upstream sectorWhile these strategies may help, it will become much more difficult for companies to find and produce the advantaged barrels needed to meet base ETO demand.Latham concludes that it would be very difficult for advantaged resources alone to meet all ETO oil and gas demand: “We are entering an interesting period in the upstream industry. Some companies will double down and hope for less competition in the sector. However, many may begin or accelerate their exit from the sector to pursue low-carbon energies and renewables. If this is the case, security of supply may become threatened, and, unfortunately, we may see companies turning to disadvantaged resources to meet demand.”
Source: Wood Mackenzie",17/02/2023
"Libya’s National Oil Corporation (NOC) will increase oil production to 2 million barrels per day (bpd), the company said in a statement.The NOC has a timeframe of three to five years to achieve this target, it said.Libya’s crude oil production reached 1.215 million bpd in January, earlier data showed.
Source: Reuters (Reporting by Yomna Ehab; writing by Clauda Tanios; editing by David Goodman and Jason Neely)",16/02/2023
"Domestic Gas Resources Can Improve the Lives of Africa’s Young, Increasing Population, and Deliver the Energy it Needs to Develop within a Just Energy Transition.The International Gas Union (IGU) in partnership with Hawilti Ltd. released an important new study on Gas for Africa, assessing the potential for domestic gas resources to energise Africa in line with the global energy transition. The African Energy Commission (AU-AFREC) and the Africa Finance Corporation endorse the report and its findings.Africa has the lowest energy per capita in the world, while the average electricity use of a sub-Saharan Africa resident is lower than that of a household fridge in the US.Where energy is available in African countries, it is often expensive, inefficient, polluting, and unreliable: for example, Nigeria’s grid collapsed four times between January and September 2022.Domestic natural gas can help to alleviate Africa’s energy poverty, but despite producing over 6% of the world’s natural gas supply and having close to one tenth of proven global reserves, most of the African continent has no access to its natural gas. Africa’s domestic gas markets remain under-developed or non-existent, especially south of the Sahara, and much of Africa’s abundant natural gas resource development has been for export to the rest of the world. Africa produces over 280 bcm of natural gas, while its domestic demand is just above 160 bcm.The adoption of natural gas in Africa will have minimal impact on the net global GHG emissions, given its miniscule starting point.Africa has a fifth of the world’s population and represents only 3% of global emissions. For the 48 Sub-Saharan African countries, without South Africa, the estimated share of emissions is 0.55%. If Africa consumes 50% (90 bcm/y) more natural gas by 2030 than it does today, it would generate cumulative CO2 emissions of 10 gigatons (Gt), taking its share of global emissions to 3.5% by 2050, according to the IEA.In the short-term, natural gas can also provide an immediate emissions reductions benefit when it replaces higher emitting energy sources, such as biomass, wood, charcoal, coal, and heavy fuel oil. For example, when replacing coal with natural gas in power generation, Africa can achieve a reduction of 50% in greenhouse gas (GHG) and more than 90% in air pollution emissions.To stay on a long-term decarbonisation trajectory, developing gas infrastructure and markets in Africa should also go hand in hand with integration of variable renewable generation, carbon capture, renewable gases, and hydrogen.Africa wants to leverage its 18 trillion cubic metres of natural gas to rebalance pressing needs of local development with lucrative export revenues.Access to gas can provide stable electricity in countries with no lower-emission alternatives and strengthen power systems to add more renewable energy, and begin decarbonising energy supply, displacing wood, biomass, charcoal, and diesel. Developing domestic access to gas in Africa can provide energy needed today, while anchoring the continent’s future low- carbon and renewable energy.By developing domestic gas markets and re-orienting gas towards its own energy needs Africa seeks to promote industrialisation, create jobs, diversify economies, produce fertilizer to grow food, petrochemicals to make consumer goods and advanced products, and steel and cement to develop modern infrastructure.To realise its vast potential and benefit from lucrative sector investments, a pragmatic approach, sense of urgency, and focus on competitiveness are required for Africa to attract the billions of dollars that will be injected into gas projects this decade.Sustainability improvements in current operations will be vital for the gas value chain in Africa to ensure its global competitiveness. There is growing urgency to effectively manage and eliminate methane emissions globally, as well as to end routine flaring.Futureproofing projects to strengthen sustainability and climate value and unlocking additional sources of capital domestically will be key to overcoming financing challenges. Addressing the infrastructure and demand-side barriers will require continued regional cooperation, leveraging gas value chains to develop industrial clusters, reforming electricity markets, pricing emissions, and encouraging the adoption of small, scalable technologies. Policy uncertainty and physical security risks that create an unfavourable business climate and discourage investment also need to be urgently addressed.Fortunately, successful African case studies detailed in the report demonstrate that there are many local solutions and opportunities to achieve gasification, as well as emissions reductions.The Executive Director, Africa Energy Commission, Rashid Abdallah stressed:“Natural gas is a resource that has a significant role to play in bringing about socio-economic development and mitigating climate change in Africa. As part of a just transition, Africa requires gas to contribute to eradicating energy poverty, providing electricity to almost 50% of Africans, playing as catalyst in the provision of clean cooking technologies to nearly billion Africans and creating jobs. The calls for an immediate end to all fossil fuel utilisation, and request for global capital investors to stop funding gas projects will severely impact Africa’s socio-economic development.”The CEO of Africa Finance Corporation, Samaila Zubairu, commented:“The global energy market is in an unprecedented state of flux, opening significant opportunities for exploration and development of gas in Africa. At the same time, gas is key to helping Africa end its energy poverty quickly and affordably, by providing an alternative to wood fuel, which would lift hundreds of millions out of poverty while preserving Africa’s forests – a valuable carbon sink for the world. Gas offers further solutions for Africa’s food security challenges as a key source of critical fertilizers, while also generating needed export revenue for re-investment in renewable solutions.”The IGU President, Madam Li Yalan reiterated:“Access to modern energy in Africa is imperative for its development, for having an ability to respond to climate change, and for gradually decarbonising its economies. Gas is oneof the keys to unlock this access, and it is also a fuel for producing stable and flexible energy needed to integrate more renewables. Using its gas resources together with renewable energy technologies, Africa can build energy systems compatible with a climate- or carbon-neutral future and underpin the continent’s sustainable economic development.”The Director & Head of Research at Hawilti, Mickael Vogel said:“We are delighted to provide stakeholders and policy-makers with an overview of natural gas dynamics in Africa, and hope it will be valuable to underpin dialogue and pragmatic actions to eliminate energy poverty. As an Africa-based research and consultancy company, we will continue to highlight the diversity and complexity of African energy markets and we see gas as a critical contributor to the continent’s development and just energy transition.”
Source: Hawilti, International Gas Union",16/02/2023
"The natural gas price at the U.S. benchmark Henry Hub declined by 41%, or $2.26 per million British thermal units (MMBtu), in January 2023 compared with December 2022, based on data from Refinitiv Eikon. The price decline was driven by warmer-than-average temperatures across the United States that reduced natural gas consumption for space heating and by increased natural gas production. In our February Short-Term Energy Outlook (STEO), we forecast the natural gas price at the Henry Hub will average $3.40/MMBtu in 2023.Typically, U.S. natural gas prices increase in the winter as temperatures decrease and demand for space heating increases. This past January was the warmest January since 2006. The United States was warmer than normal; it experienced 16% fewer heating degree days (HDDs, a measure of how cold it is) than the 10-year (2013–22) average. As a result, we estimate that in January, natural gas consumption in the residential and commercial sectors, combined, was 15% lower (at 40.1 billion cubic feet per day [Bcf/d]) than the five-year (2018–22) average for the month. In addition, an outage at the Freeport LNG liquefied natural gas export facility has resulted in approximately 2.0 Bcf/d less feedgas demand since June 2022. The decreased demand for natural gas contributed to a lower January priceWe estimate that dry natural gas production in January averaged 11% more (at 100.2 Bcf/d) than the five-year average and was up 5% from last January. Strong production combined with less consumption in January reduced natural gas withdrawals from storage by 55%, or 371 Bcf, compared with the five-year average. Natural gas in underground storage in the Lower 48 states as of January 27, 2023, was 7% higher (at 2,583 Bcf) than the five-year average.
Source: EIA",16/02/2023
"Oil prices rose on Thursday as hopes of a robust fuel demand recovery in top oil consumer China offset losses arising from strength in the greenback and a large build in U.S. crude inventory.Brent crude futures rose 59 cents, or 0.7%, to $85.97 per barrel by 0725 GMT, while U.S. West Texas Intermediate (WTI) crude futures gained 73 cents, or 0.9% to $79.32 a barrel.The International Energy Agency (IEA) said oil demand would rise by 2 million barrels per day (bpd) in 2023, up 100,000 bpd from last month’s forecast to a record 101.9 million bpd, with China making up 900,000 bpd of the increase.China will account for almost half of 2023 oil demand growth after relaxing its COVID-19 curbs, the Paris-based agency said.The U.S. dollar, which generally moves inversely with crude prices, surged on the back of bullish U.S. retail sales data and clung to most of those gains on Thursday.“On China, OPEC and the IEA’s optimistic outlook helped. The net upward thrust countered the weight of the huge U.S. oil stock-build, but I don’t see much more headroom just yet,” said Vandana Hari, founder of oil market analysis provider Vanda (NASDAQ:VNDA) Insights.U.S. crude oil stocks soared last week by 16.3 million barrels to 471.4 million barrels, the highest level since June 2021, the Energy Information Administration (EIA) said. The larger-than-expected build was largely due a data adjustment, which analysts said muted the impact to oil prices. [EIA/S]
“Oil prices are expected to swing in a narrow range, caught between the divergent demand-supply dynamics,” said independent market expert Sugandha Sachdeva.
“While the steadily rising U.S. production and swelling inventories combined with a broad recovery in the U.S. dollar are acting as a headwind for oil prices, still the narrative of strong demand revival from China and prospects of Russia-linked output cuts is jacking up oil prices,” Sachdeva added.
Around 1 million bpd of oil production will be shut by the end of the first quarter, the IEA said, following the European ban on seaborne imports and international price cap sanctions.
Analysts at Commonwealth Bank pointed out in a note that OPEC+ will not look to boost output to compensate for lower Russian output.
That means the onus will be on the United States and other non-OPEC producers to boost output not only to make up for lower Russian output, but also to meet any incremental increase in global oil demand, the note added.
Source: Reuters
“Oil prices are expected to swing in a narrow range, caught between the divergent demand-supply dynamics,” said independent market expert Sugandha Sachdeva.“While the steadily rising U.S. production and swelling inventories combined with a broad recovery in the U.S. dollar are acting as a headwind for oil prices, still the narrative of strong demand revival from China and prospects of Russia-linked output cuts is jacking up oil prices,” Sachdeva added.Around 1 million bpd of oil production will be shut by the end of the first quarter, the IEA said, following the European ban on seaborne imports and international price cap sanctions.Analysts at Commonwealth Bank pointed out in a note that OPEC+ will not look to boost output to compensate for lower Russian output.That means the onus will be on the United States and other non-OPEC producers to boost output not only to make up for lower Russian output, but also to meet any incremental increase in global oil demand, the note added.
Source: Reuters",16/02/2023
"China will make up nearly half of this year’s oil demand growth after it relaxed its COVID-19 curbs, the International Energy Agency (IEA) said, but restrained OPEC+ production could mean a supply deficit in the second half.“Supply from OPEC+ is projected to contract with Russia pressured by sanctions,” the Paris-based agency said in its monthly oil report.“World oil supply looks set to exceed demand through the first half of 2023, but the balance could quickly shift to deficit as demand recovers and some Russian output is shut in.”International sanctions on Russia aimed at depriving it of funds after it invaded Ukraine have so far had little impact on its oil exports, which in January were down by only 160,000 barrels per day (bpd) from pre-war levels.But around 1 million bpd of production will be shut in by the end of the first quarter, the IEA said, following a European ban on seaborne imports and international price cap sanctions.
Source: Reuters (Reporting by Noah Browning; editing by Jason Neely)",16/02/2023
"Leading scenarios for energy demand in 2050 continue to diverge massively amid uncertainty over climate policies and how the global energy industry will cut greenhouse gas emissions, according to a new report published by the International Energy Forum (IEF).The 24 energy demand outlooks analyzed by the IEF showed a divergence between the highest and lowest scenarios of 92 million barrels a day (mb/d) by 2050 for oil and 5,100 billion cubic meters (bcm) for natural gas by 2050, roughly equal to the size of the global market today. The range of projections for renewable energy demand in 2050 was four times greater than current global renewables market.“The wide range in scenarios underscores the uncertainty in future energy demand, the wide-ranging potential impact of policies, and the immense challenge ahead for achieving just and orderly transitions,” said Joseph McMonigle, Secretary General of the IEF.The IEF published its updated energy outlooks comparison report ahead of the 13th Symposium on Energy Outlooks, held jointly with the International Energy Agency (IEA) and the Organization of the Petroleum Exporting Countries (OPEC) at the IEF headquarters in Riyadh on Wednesday. The symposium brought together policymakers, experts and industry leaders to help them address the simultaneous crises affecting the global climate, energy market and economySince last year’s symposium, long-term demand uncertainty has been compounded by acute near-term risks, particularly in oil and gas markets, fuelling price volatility and harming consumers, investors, businesses, and governments, Mr McMonigle said.“The only sure antidote to high energy prices and volatility is adequate investment in new supplies. Underinvestment threatens to undermine energy security and can also stall progress on climate goals by risking public support for climate action and increasing reliance on more carbon-intensive options in the short-term,” he told the symposium.In the IEF’s comparison of the six main energy outlooks from the IEA and OPEC, there were some areas of agreement about 2030. All base case scenarios showed an 8-12 percent increase in primary energy demand by the end of this decade, with non-OECD countries driving the growth.Low-carbon energy sources including renewable, hydro, biomass, and nuclear were expected to grow by a total 32-67 percent by 2030 in all six scenarios, the report found. Coal demand was expected to fall by 2030 in all six scenarios, although the size of the decline ranges from 5 percent to 46 percent.By 2045, three of the six scenarios saw robust growth in primary energy demand. However, the IEA’s net zero scenario showed primary energy demand plummeting by 15 percent, projecting a break with the historical relationship between economic growth and energy demand growth.“Energy investment decisions are informed by energy demand outlooks and scenarios. While aspirational scenarios are essential for tracking progress towards climate goals, it is equally important to provide outlooks based on current policy and consumer trends. Investment decisions should be based on realistic scenarios and real-time market data to prevent supply shortfalls,” Mr McMonigle said.Four of the six core scenarios showed fossil fuels accounting for more than 50 percent of primary energy in 2045, versus a current share of approximately 80 percent.The IEF also gathered data on 18 additional scenarios from seven sources to understand how IEA and OPEC projections compared against other industry-leading outlooks.Three quarters of all 24 scenarios showed primary energy demand in 2050 at higher levels than 2021, the report said. Forecasts for total liquids demand in 2050 diverged by 92 mb/d – almost the size of today’s global market. Scenarios based on current trends and policies showed demand plateauing, while net zero scenarios showed a peak and collapse.More than half of all scenarios to 2050 showed coal demand falling by more than half, fossil fuels accounting for more half of total primary energy demand and nuclear power increasing by more than 50 percent.Most scenarios showed electricity demand growing by 80 percent by 2050, with more ambitious net zero scenarios showing up to 200 percent growth versus 2021.Most net zero scenarios show carbon capture expanding to 6-8 Gigatons of CO2 per year by 2050, the report said.
Source: International Energy Forum",16/02/2023
"The US Energy Information Administration is widely expected to announce another tepid drawdown from US natural gas storage in early February, further widening the surplus, as mild weather and correspondingly weak demand continue to drive a supply overhang weighing on the US gas market.In the week ended Feb. 10, US gas inventories likely fell 109 Bcf, according to the latest survey of market analysts by S&P Global Commodity Insights. Storage withdrawal estimates were reported in a wider range, with analysts predicting drawdowns ranging from 80 Bcf to as much as 127 Bcf.This week’s consensus withdrawal of 109 Bcf would undershoot the average 166 Bcf drawdown reported over the past five years. The estimate also falls dramatically below the year-ago pull of 195 Bcf, data from EIA shows.If the market’s anticipated storage withdrawal is accurate, US stocks would fall to 2.257 Tcf, widening the storage surplus to 174 Bcf, or more than 8%, above the five-year average. The withdrawal would also move domestic inventories to a surplus of 319 Bcf, or almost 17%, above the year-ago level.Fundamentals
On Feb. 14, the NYMEX March futures contract was up about 20 cents from the prior-day settlement to trade around $2.61/MMBtu, intraday exchange data from CME Group showed.Over the past eight weeks, prompt-month futures prices have lost more than 60% of their value, plummeting on exceptionally mild winter temperatures, low US heating demand and bearish winter weather forecasts — compounded by an eight-month outage at the Freeport LNG export terminal.Over the weekend, Freeport LNG exported its first LNG cargo since a June 8 fire shut the Texas facility, giving futures traders a glimmer of hope that the terminal’s restart could soon help to balance a host of other bearish factors. The Freeport terminal can take more than 2 Bcf/d when operating fully. The terminal’s restart promises to tighten supply in the US Gulf Coast gas market, helping to reduce the domestic supply overhang.“Looks like we’re getting a little bit of a Freeport bounce today,” said Phil Flynn, senior account executive at Price Futures Group, by telephone Feb. 14.“Obviously it’s been a long process and there’s still a regulatory hurdle to get through, but it does look like this thing is finally getting ready to move and that’s given us a little bit of support — and let’s face it, this weather is not very helpful at all,” he said.Freeport was scheduled to receive more than 700 MMcf/d of feedgas Feb. 14, based on nominations for the morning cycle that could later be revised, S&P Global Commodity Insights data showed. The scheduled deliveries to Freeport were up from nearly 430 MMcf/d Feb. 13, which marked the highest volume of daily feedgas deliveries to the terminal since the outage began.
OutlookFollowing a nearly 19 Bcf/d weather-fueled decline in US gas demand last week, short-term forecasts from the National Weather Service show mild temperatures continuing in the Midwest and across the Eastern Seaboard — both key heating-demand regions — through late February. According to a seasonal outlook from the agency, a risk for mild weather in both regions continues into March and potentially through April.
S&P Global’s latest supply-demand model estimate is already calling for a smaller withdrawal from US inventory for the week in progress, further weighing on the market’s bearish outlook. According to the latest projection, US storage withdrawals will likely total just 70 Bcf in the current week. If the projection is accurate, domestic inventories would drop below 2.2 Tcf, but it would still widen the surplus to the five-year average and the year-ago level
Source: Platts
",16/02/2023
"The IEA Oil Market Report (OMR) is one of the world’s most authoritative and timely sources of data, forecasts and analysis on the global oil market – including detailed statistics and commentary on oil supply, demand, inventories, prices and refining activity, as well as oil trade for IEA and selected non-IEA countries.Nearly a year on from Russia’s invasion of Ukraine, global oil markets are trading in relative calm. Oil prices are back to pre-war levels with the exception of diesel, though even these have drifted much lower from last summer’s historical highs. World oil supply looks set to exceed demand through the first half of 2023, but the balance could quickly shift to deficit as demand recovers and some Russian output is shut in.Russian oil production and exports have held up relatively well despite sanctions. The country has managed to reroute shipments of crude to Asia and the G7 price cap on crude appears to be helping to keep the barrels flowing. In January, output was down only 160 kb/d from pre-war levels, with a lofty 8.2 mb/d of oil shipped to markets. But in a sign that Moscow may be struggling to place all of its barrels, Deputy Prime Minister Alexander Novak said in early February that Russia would curb output by 500 kb/d in March rather than sell to countries that comply with the G7 price caps.The cut may be an attempt to shore up oil prices. In January, Moscow was forced to sell exports at a large discount. Their 2023 budget is based on a Urals price of $70.10/bbl, but the grade’s export price averaged just $49.48/bbl in January versus $82/bbl for North Sea Dated. As a result, Russia’s fiscal revenues from oil operations plunged 48% y-o-y in January to 310 billion roubles (or $4.2 bn), while export revenues dropped 36% to $13 billion.With Russian oil production in decline and limited gains expected from the rest of the OPEC+ bloc, non-OPEC+ producers will lead world supply growth in 2023. For the year as a whole, global oil supply is forecast to expand by 1.2 mb/d, led by the United States, Brazil, Norway, Canada and Guyana – all set to pump at record rates. OPEC kingpin Saudi Arabia, along with the UAE, will also produce near all-time highs, leaving a thin spare capacity cushion of roughly 3.4 mb/d.At the same time, world oil demand growth is picking up after a marked slowdown in the second half of 2022 and a year-on-year contraction in the fourth quarter. China accounts for nearly half the 2 mb/d projected increase this year, with neighbouring countries also set to benefit after Beijing ditched its zero-Covid policies. A pronounced uptick in air traffic in recent weeks emphasises the central role of jet fuel deliveries in 2023 growth – expected to soar by 1.1 mb/d to reach 7.2 mb/d, around 90% of 2019 levels. Total demand will hit a record 101.9 mb/d, 1.4 mb/d more than the 2019 average.The impact on Russia’s product exports following the EU embargo and price cap that came into effect on 5 February will be a key factor when it comes to meeting that demand growth. So will Beijing’s stance on domestic refinery activity and product exports amid its reopening. New refineries in Africa and the Middle East as well as China are expected to step in to cater for the growth in refined product demand. If the price cap on products is half as successful as the crude cap, product markets may well weather the storm – but more crude supplies would be required to prevent renewed stock draws later in the year.
Source: IEA",16/02/2023
